rate,effective_date,season,start,end,determinant,charge_type,rate_determinant,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025
distribution charge,10/01/2018,,,8.0,ccf,,per ccf,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
distribution charge,10/01/2018,,9.0,20.0,ccf,,per ccf,0.3989,0.3989,0.3989,0.3989,0.3989,0.3989,0.3989,0.3989,0.3989,0.3989,0.3989,0.3989
distribution charge,10/01/2018,,21.0,500.0,ccf,,per ccf,0.3231,0.3231,0.3231,0.3231,0.3231,0.3231,0.3231,0.3231,0.3231,0.3231,0.3231,0.3231
distribution charge,10/01/2018,,501.0,1000.0,ccf,,per ccf,0.3168,0.3168,0.3168,0.3168,0.3168,0.3168,0.3168,0.3168,0.3168,0.3168,0.3168,0.3168
distribution charge,10/01/2018,,1001.0,,ccf,,per ccf,0.3104,0.3104,0.3104,0.3104,0.3104,0.3104,0.3104,0.3104,0.3104,0.3104,0.3104,0.3104
purchased gas adjustment surcharge applies,,,,,,,,,,,,,,,,,,,
franchise tax adjustment applies,,,,,,,,,,,,,,,,,,,
