tariff_rate_id,rate_name,charge_type,master_charge,master_type,decision,unit,date_month,value
20870462,Customer Charge,FIXED_PRICE,Customer Charge,Base delivery,already_in_drr,$/month,2024-11,6.0
20870462,Customer Charge,FIXED_PRICE,Customer Charge,Base delivery,already_in_drr,$/month,2024-12,6.0
20870462,Customer Charge,FIXED_PRICE,Customer Charge,Base delivery,already_in_drr,$/month,2025-01,6.0
20870462,Customer Charge,FIXED_PRICE,Customer Charge,Base delivery,already_in_drr,$/month,2025-02,6.0
20870462,Customer Charge,FIXED_PRICE,Customer Charge,Base delivery,already_in_drr,$/month,2025-03,6.0
20870462,Customer Charge,FIXED_PRICE,Customer Charge,Base delivery,already_in_drr,$/month,2025-04,6.0
20870462,Customer Charge,FIXED_PRICE,Customer Charge,Base delivery,already_in_drr,$/month,2025-05,6.0
20870462,Customer Charge,FIXED_PRICE,Customer Charge,Base delivery,already_in_drr,$/month,2025-06,6.0
20870462,Customer Charge,FIXED_PRICE,Customer Charge,Base delivery,already_in_drr,$/month,2025-07,6.0
20870462,Customer Charge,FIXED_PRICE,Customer Charge,Base delivery,already_in_drr,$/month,2025-08,6.0
20870462,Customer Charge,FIXED_PRICE,Customer Charge,Base delivery,already_in_drr,$/month,2025-09,6.0
20870462,Customer Charge,FIXED_PRICE,Customer Charge,Base delivery,already_in_drr,$/month,2025-10,6.0
20870462,Customer Charge,FIXED_PRICE,Customer Charge,Base delivery,already_in_drr,$/month,2025-11,6.0
20870462,Customer Charge,FIXED_PRICE,Customer Charge,Base delivery,already_in_drr,$/month,2025-12,6.0
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2020-01,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2020-02,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2020-03,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2020-04,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2020-05,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2020-06,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2020-07,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2020-08,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2020-09,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2020-10,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2020-11,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2020-12,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2021-01,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2021-02,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2021-03,0.0458
20870463,Distribution Charge,CONSUMPTION_BASED,Core Delivery Rate,Base delivery,already_in_drr,$/kWh,2021-04,0.0458
