utility_id_eia,utility_code,utility_name,business_model,entity_type,report_date,total_sales_mwh,total_sales_revenue,commercial_sales_mwh,commercial_sales_revenue,commercial_customers,industrial_sales_mwh,industrial_sales_revenue,industrial_customers,other_sales_mwh,other_sales_revenue,other_customers,residential_sales_mwh,residential_sales_revenue,residential_customers,transportation_sales_mwh,transportation_sales_revenue,transportation_customers
13214,rie,The Narragansett Electric Co,retail,Investor Owned,2024-01-01,7261391.0,1323444700.0,3612883.0,487263400.0,61694.0,599259.0,74321200.0,1587.0,0.0,0.0,0.0,3027335.0,759365600.0,451381.0,21914.0,2494600.0,1.0
1857,,Block Island Power Co,retail,Investor Owned,2018-01-01,13234.0,5134000.0,9027.0,3515000.0,625.0,0.0,0.0,0.0,0.0,0.0,0.0,4207.0,1619000.0,1321.0,0.0,0.0,0.0
