year,bulk_tx_nominal,bulk_tx_real,sub_tx_and_dist_nominal,sub_tx_and_dist_real
2026,0.0,0.0,0.0,0.0
2027,0.0,0.0,57.6094,56.4798
2028,0.0,0.0,47.2877,45.4514
2029,0.0,0.0,80.3746,75.7387
2030,0.0,0.0,39.0419,36.0686
2031,0.0,0.0,57.99,52.5234
2032,0.0,0.0,55.1018,48.9288
2033,0.0,0.0,89.1692,77.6272
2034,0.0,0.0,88.1702,75.2524
2035,0.0,0.0,139.2817,116.5447
