year,bulk_tx_nominal,bulk_tx_real,sub_tx_and_dist_nominal,sub_tx_and_dist_real
2026,0.0,0.0,0.0,0.0
2027,0.0,0.0,2.2503,2.2062
2028,0.0,0.0,0.6882,0.6615
2029,0.0,0.0,3.7766,3.5587
2030,0.0,0.0,7.2193,6.6695
2031,0.0,0.0,5.8511,5.2995
2032,0.0,0.0,13.6883,12.1548
2033,0.0,0.0,34.401,29.9481
2034,0.0,0.0,52.6607,44.9454
2035,0.0,0.0,90.3042,75.5625
