year,month,current_state,bill,comfort_penalty,switching_decision,realized_savings,unrealized_savings
2018,1,default,19.419495839379813,0.0,switch,0.0,5.83914954765468
2018,2,tou,11.858265133177351,0.0,stay,5.713506771765154,0.0
2018,3,tou,16.264304844120645,0.0,stay,7.889703840324671,0.0
2018,4,tou,11.508235903917065,0.0,stay,4.883647248491705,0.0
2018,5,tou,12.120994111408852,0.0,stay,5.062848940539464,0.0
2018,6,tou,10.508878971192942,0.0,stay,4.085758881894119,0.0
2018,7,tou,8.933402601402403,0.0,stay,4.165854823213699,0.0
2018,8,tou,9.286251483488432,0.0,stay,4.535698283359526,0.0
2018,9,tou,9.570890476011726,0.0,stay,4.327872109218848,0.0
2018,10,tou,11.329093437266,0.0,stay,4.961703105217111,0.0
2018,11,tou,12.122365738176168,0.0,stay,5.393897823408558,0.0
2018,12,tou,14.553050872491081,0.0,stay,6.0793714533188705,0.0
