bucket,label,levelized_mc_kw_yr,final_year_real_mc_kw_yr,final_year_nominal_mc_kw_yr
bulk_tx,Bulk TX,0.0,0.0,0.0
sub_tx_and_dist,Sub-TX + Distribution,10.3267,147.8278,176.6679
