bucket,label,levelized_mc_kw_yr,final_year_real_mc_kw_yr,final_year_nominal_mc_kw_yr
bulk_tx,Bulk TX,10.95,8.85,10.89
sub_tx_and_dist,Sub-TX + Distribution,96.47,83.26,102.49
