bucket,label,n_projects,n_unique_stations,capacity_mw,capital_b,annual_cost_nominal_m,annual_cost_discounted_m,diluted_per_kw_yr
total,All projects,237,152,11532.5,10.7,960.9,824.9,124.68
bulk_tx,Bulk TX (≥230kV),3,1,2120.0,1.08,91.2,87.2,13.19
sub_tx,Sub-TX (69–115kV),46,1,6869.1,6.7,570.3,480.4,72.61
distribution,Distribution (≤13.2kV),188,151,2543.4,2.93,299.4,257.2,38.88
sub_tx_plus_dist,Sub-TX + Distribution (DRV-relevant),234,152,9412.5,9.62,869.7,737.6,111.49
