bucket,label,n_projects,n_unique_stations,capacity_mw,capital_b,levelized_mc_kw_yr,final_year_real_mc_kw_yr,final_year_nominal_mc_kw_yr
total,All projects,237,152,11532.5,10.7,42.84,124.68,153.47
bulk_tx,Bulk TX (≥230kV),3,1,2120.0,1.08,10.73,13.19,16.23
sub_tx,Sub-TX (69–115kV),46,1,6869.1,6.7,18.76,72.61,89.39
distribution,Distribution (≤13.2kV),188,151,2543.4,2.93,13.36,38.88,47.86
sub_tx_plus_dist,Sub-TX + Distribution,234,152,9412.5,9.62,32.12,111.49,137.24
