bucket,label,levelized_mc_kw_yr,final_year_real_mc_kw_yr,final_year_nominal_mc_kw_yr
bulk_tx,Bulk TX,1.66,1.47,1.81
sub_tx_and_dist,Sub-TX + Distribution,4.49,58.98,72.6
