bucket,label,levelized_mc_kw_yr,levelized_npv_mc_kw_yr
upstream,Upstream (Sub + Feeder),46.3372,47.915
dist_sub,Distribution Substation,63.4191,61.7258
primary_feeder,Primary Feeder,25.8408,25.9309
total,Total at Primary,58.4615,60.057
