year,bulk_tx_nominal,bulk_tx_real,sub_tx_and_dist_nominal,sub_tx_and_dist_real
2025,0.0,0.0,5.38,5.5
2026,0.0,0.0,7.41,7.41
2027,0.0,0.0,9.0,8.82
2028,0.0,0.0,10.42,9.99
2029,0.0,0.0,12.09,11.36
2030,0.0,0.0,12.93,11.9
2031,0.0,0.0,13.91,12.54
2032,0.0,0.0,15.42,13.61
