year,bulk_tx_nominal,bulk_tx_real,sub_tx_and_dist_nominal,sub_tx_and_dist_real
2025,0.0,0.0,5.38,5.5
2026,0.0,0.0,1.91,1.91
2027,0.0,0.0,1.44,1.41
2028,0.0,0.0,1.23,1.18
2029,0.0,0.0,1.46,1.37
2030,0.0,0.0,0.58,0.54
2031,0.0,0.0,0.71,0.64
2032,0.0,0.0,1.21,1.07
