year,bulk_tx_nominal,bulk_tx_real,sub_tx_and_dist_nominal,sub_tx_and_dist_real
2025,0.0,0.0,60.12,61.38
2026,0.0,0.0,50.09,50.09
2027,0.0,0.0,52.28,51.21
2028,0.0,0.0,60.7,58.23
2029,0.0,0.0,65.74,61.77
2030,0.0,0.0,51.24,47.15
2031,0.0,0.0,52.31,47.15
2032,0.0,0.0,53.41,47.15
