year,month,current_state,bill,comfort_penalty,switching_decision,realized_savings,unrealized_savings
2018,1,default,42.40809407309479,0.0,switch,0.0,28.827747781369652
2018,2,tou,11.858265133177351,0.0,stay,28.17912545587153,0.0
2018,3,tou,16.264304844120645,0.0,stay,38.62587101535288,0.0
2018,4,tou,11.508235903917065,0.0,stay,24.05044438489502,0.0
2018,5,tou,12.120994111408852,0.0,stay,24.96647536601108,0.0
2018,6,tou,10.508878971192942,0.0,stay,20.13037732906411,0.0
2018,7,tou,8.933402601402403,0.0,stay,20.51909532994681,0.0
2018,8,tou,9.286251483488432,0.0,stay,22.296824259851306,0.0
2018,9,tou,9.570890476011726,0.0,stay,21.310331630708784,0.0
2018,10,tou,11.329093437266,0.0,stay,24.476924185785993,0.0
2018,11,tou,12.122365738176168,0.0,stay,26.55255091080687,0.0
2018,12,tou,14.553050872491081,0.0,stay,29.935902423116904,0.0
