rate,effective_date,season,start,end,determinant,charge_type,location,rate_determinant,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025
revenue tax surcharge - delivery,01/01/2005,,,,,,city of watertown,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,city of watervliet,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of adams,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of altamont,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of baldwinsville,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of ballston spa,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of brownsville,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of camillus,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of canajoharie,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of canastota,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of carthage,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of castleton-on-hudson,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of cazenovia,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of central square,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of chittenango,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of clayville,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of colonie,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of deferiet,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of dexter,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of dolgeville,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of east syracuse,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of fayetteville,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of fort edward,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of fort plain,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of frankfort,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of glen park,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of greenwich,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of herkimer,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of hudson falls,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of ilion,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of lacona,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of lake george,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of liverpool,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of manlius,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of mexico,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of minoa,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of north syracuse,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
revenue tax surcharge - delivery,01/01/2005,,,,,,village of phoenix,percent,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278,3.09278
