rate,effective_date,season,min_therms,max_therms,start,end,determinant,charge_type,location,rate_determinant,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025
additional percentage increase in rates and charges - commodity rates,06/29/2024,,,,,,,,new rochelle,percent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
additional percentage increase in rates and charges - commodity rates,06/29/2024,,,,,,,,peekskill,percent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
additional percentage increase in rates and charges - commodity rates,06/29/2024,,,,,,,,rye,percent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
additional percentage increase in rates and charges - commodity rates,06/29/2024,,,,,,,,white plains,percent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
additional percentage increase in rates and charges - commodity rates,06/29/2024,,,,,,,,city of yonkers,percent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
additional percentage increase in rates and charges - commodity rates,06/29/2024,,,,,,,,all towns,percent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
additional percentage increase in rates and charges - commodity rates,06/29/2024,,,,,,,,all villages,percent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
additional percentage increase in rates and charges - delivery rates,06/03/2025,,,,,,,,city of new york,percent,0.0,0.0,0.0,0.0,0.0,0.0,1.4514,1.4514,1.4514,1.4514,1.4514,1.4514
additional percentage increase in rates and charges - delivery rates,06/03/2025,,,,,,,,city of mount vernon,percent,0.0,0.0,0.0,0.0,0.0,0.0,1.4312,1.4312,1.4312,1.4312,1.4312,1.4312
additional percentage increase in rates and charges - delivery rates,06/03/2025,,,,,,,,new rochelle,percent,0.0,0.0,0.0,0.0,0.0,0.0,1.4312,1.4312,1.4312,1.4312,1.4312,1.4312
additional percentage increase in rates and charges - delivery rates,06/03/2025,,,,,,,,peekskill,percent,0.0,0.0,0.0,0.0,0.0,0.0,1.4312,1.4312,1.4312,1.4312,1.4312,1.4312
additional percentage increase in rates and charges - delivery rates,06/03/2025,,,,,,,,rye,percent,0.0,0.0,0.0,0.0,0.0,0.0,1.4312,1.4312,1.4312,1.4312,1.4312,1.4312
additional percentage increase in rates and charges - delivery rates,06/03/2025,,,,,,,,white plains,percent,0.0,0.0,0.0,0.0,0.0,0.0,1.4312,1.4312,1.4312,1.4312,1.4312,1.4312
additional percentage increase in rates and charges - delivery rates,06/03/2025,,,,,,,,city of yonkers,percent,0.0,0.0,0.0,0.0,0.0,0.0,1.4615,1.4615,1.4615,1.4615,1.4615,1.4615
additional percentage increase in rates and charges - delivery rates,06/03/2025,,,,,,,,all towns,percent,0.0,0.0,0.0,0.0,0.0,0.0,1.4614,1.4614,1.4614,1.4614,1.4614,1.4614
additional percentage increase in rates and charges - delivery rates,06/03/2025,,,,,,,,all villages,percent,0.0,0.0,0.0,0.0,0.0,0.0,1.4312,1.4312,1.4312,1.4312,1.4312,1.4312
