bucket,label,levelized_mc_kw_yr,final_year_real_mc_kw_yr,final_year_nominal_mc_kw_yr
bulk_tx,Bulk TX (138/345 kV),15.62,0.0,0.0
sub_tx_and_dist,Sub-TX + dist (excl. bulk TX),239.58,473.93,573.08
