cost_center,label,n_projects,capacity_mw,total_cost_m,composite_rate,levelized_mc_kw_yr,final_year_real_mc_kw_yr,final_year_nominal_mc_kw_yr
transmission,Bulk TX (138/345 kV),5,1790.0,1447.1,0.13527,76.55,109.36,132.24
substation,Area Station & Sub-TX,17,3024.0,7419.4,0.12832,220.05,314.83,380.7
primary,Primary Distribution,143,97.5,13.1,0.12895,17.39,17.39,21.02
transformer,Distribution Transformer,143,97.5,5.9,0.11271,6.82,6.82,8.25
secondary,Secondary Cable,143,97.5,16.8,0.12754,21.99,21.99,26.59
distribution,Distribution (Prim+Trans+Sec),143,97.5,35.8,0.0,46.19,46.19,55.86
local_total,Sub-TX + dist (excl. bulk TX),0,0.0,0.0,0.0,266.24,361.03,436.56
