bucket,label,levelized_mc_kw_yr,final_year_real_mc_kw_yr,final_year_nominal_mc_kw_yr
bulk_tx,Bulk TX (138/345 kV),11.65,16.32,19.73
sub_tx_and_dist,Sub-TX + dist (excl. bulk TX),25.27,83.11,100.49
