occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures,Vacancy,Power Outage
0.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
0.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
0.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
0.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
0.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
0.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
0.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.452,0.452,0.0,0.0,0.0,0.0,0.447,0.862,0.862,0.0,0.0,0.0,0,0
1.0,0.452,0.452,0.0,0.0,0.0,0.0,0.447,0.862,0.862,0.0,0.0,0.0,0,0
1.0,0.452,0.452,0.533,0.0,0.0,0.0,0.447,0.862,0.862,0.0,0.0,0.0,0,0
1.0,0.452,0.452,1.0,0.0,0.0,0.0,0.447,0.862,0.862,0.0,0.0,0.0,0,0
1.0,0.499,0.499,1.0,0.0,0.0,0.0,0.545,0.899,0.899,0.0,0.0,0.0,0,0
1.0,0.499,0.499,0.533,0.0,0.0,0.0,0.545,0.899,0.899,0.0,0.0,0.0,0,0
1.0,0.499,0.499,0.0,0.0,0.0,0.0,0.545,0.899,0.899,0.0,0.0,0.0,0,0
1.0,0.499,0.499,0.0,0.0,0.0,0.0,0.545,0.899,0.899,0.0,0.0,0.0,0,0
1.0,0.624,0.624,0.0,0.0,0.0,0.0,0.741,0.974,0.974,0.0,0.0,0.0,0,0
1.0,0.624,0.624,0.0,0.0,0.0,0.0,0.741,0.974,0.974,0.0,0.0,0.0,0,0
1.0,0.624,0.624,0.0,0.0,0.0,0.0,0.741,0.974,0.974,0.0,0.0,0.0,0,0
1.0,0.624,0.624,0.0,0.0,0.0,0.0,0.741,0.974,0.974,0.0,0.0,0.0,0,0
1.0,0.826,0.826,0.0,0.0,0.0,0.0,0.881,0.993,0.993,0.0,0.0,0.0,0,0
1.0,0.826,0.826,0.0,0.0,0.0,0.0,0.881,0.993,0.993,0.0,0.0,0.0,0,0
1.0,0.826,0.826,0.0,0.0,0.0,0.0,0.881,0.993,0.993,0.0,0.0,0.0,0,0
