bucket,label,levelized_mc_kw_yr,levelized_npv_mc_kw_yr
upstream,Upstream (Sub + Feeder),9.3872,8.7427
dist_sub,Distribution Substation,3.172,3.1385
primary_feeder,Primary Feeder,1.6284,1.5061
total,Total at Primary,14.7828,13.9468
