Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium23,Decarb95by2050,2022$,2012,Sunday,p127,NY,NYISO,usa,ET,2045
Metric definitions and scenario descriptions: 2023 Cambium Documentation (https://www.nrel.gov/docs/fy24osti/88507.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Clean Energy Fraction,Clean Energy Fraction,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,fraction,fraction,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,h2-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2045-01-01 00:00:00,2045-01-01 00:00:00,20942.1,0.0,0.0,58.9,21001.1,20252.3,14410.7,4405.9,2396.1,0.0329,0.0451,gas-cc,gas-cc,1.0,1.0,0.0,0.0,0.0,2.2,4.8,0.04,0.0,2.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.6,7.0,0.7,43.7,2789.2,0.16,370.0,126.8,496.8,22.25,0.0,24.02,46.27,23.3,0.0,25.16,48.46,0.0,0.0,0.0,18991.2,6590.4,0.0,127.4,0.0,3010.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3713.2,4012.0,0.0,1537.8,0.0,0.0,6266.4,324.0
2045-01-01 01:00:00,2045-01-01 01:00:00,19676.9,0.0,0.0,76.4,19753.3,19042.4,13177.1,5471.0,3173.5,0.0322,0.0424,gas-cc,gas-cc,1.0,1.0,0.0,0.0,0.0,2.4,5.2,0.05,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.7,7.1,0.71,44.7,2858.0,0.16,379.1,130.0,509.1,22.25,0.0,24.09,46.34,23.23,0.0,25.16,48.39,0.0,0.0,0.0,17455.8,6576.3,0.0,127.4,0.0,3010.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3713.2,4012.0,0.0,16.5,0.0,0.0,6116.2,460.1
2045-01-01 02:00:00,2045-01-01 02:00:00,18602.1,0.0,0.0,77.0,18679.2,18012.0,12297.3,4769.1,3986.5,0.0317,0.0401,gas-cc,gas-cc,1.0,1.0,0.0,0.0,0.0,2.3,5.1,0.05,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.8,7.1,0.71,44.6,2851.1,0.16,378.2,129.6,507.9,22.25,0.0,24.15,46.4,23.18,0.0,25.16,48.33,0.0,0.0,0.0,17896.5,6381.8,89.8,127.4,0.0,3010.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3713.2,4012.0,0.0,561.9,0.0,0.0,5655.2,726.7
2045-01-01 03:00:00,2045-01-01 03:00:00,17980.0,0.0,0.0,67.1,18047.1,17414.4,11997.7,3359.3,4042.6,0.0315,0.0388,gas-cc,gas-cc,1.0,1.0,0.0,0.0,0.0,2.2,4.9,0.04,0.0,2.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.2,6.9,0.69,43.4,2770.7,0.16,367.6,126.0,493.5,22.25,0.0,24.18,46.43,23.15,0.0,25.16,48.3,0.0,0.0,0.0,18730.5,6049.5,59.3,127.4,0.0,3010.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3713.2,4012.0,0.0,1758.7,0.0,0.0,5350.0,699.4
2045-01-01 04:00:00,2045-01-01 04:00:00,17612.7,0.0,0.0,67.6,17680.3,17061.1,11053.1,2945.0,4740.0,0.0313,0.038,gas-cc,gas-cc,1.0,1.0,0.0,0.0,0.0,2.1,4.7,0.04,0.0,2.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.5,7.1,0.71,44.7,2856.2,0.16,378.9,129.9,508.8,22.25,0.0,24.2,46.45,23.13,0.0,25.16,48.28,0.0,0.0,0.0,19475.3,6627.1,310.2,127.4,0.0,3010.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3713.2,4012.0,0.0,1675.0,0.0,0.0,5927.7,699.4
2045-01-01 05:00:00,2045-01-01 05:00:00,17814.8,0.0,0.0,66.0,17880.8,17255.5,9769.4,2558.0,5322.1,0.0314,0.0384,gas-cc,gas-cc,1.0,1.0,0.0,0.0,0.0,2.0,4.4,0.04,0.0,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.7,7.1,0.71,44.7,2857.5,0.16,379.1,129.9,509.0,22.25,0.0,24.19,46.44,23.14,0.0,25.16,48.29,0.0,0.0,0.0,20644.8,8111.4,146.1,127.4,0.0,3010.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3713.2,4012.0,0.0,1524.3,0.0,0.0,7003.4,1108.0
2045-01-01 06:00:00,2045-01-01 06:00:00,18685.3,0.0,0.0,62.6,18747.9,18091.8,8473.6,2485.4,5283.5,0.0318,0.0403,battery,gas-cc,1.0,1.0,0.0,0.0,0.0,1.9,4.2,0.04,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.6,7.8,0.78,49.0,3128.7,0.18,415.0,142.3,557.3,24.68,0.0,24.14,48.82,25.71,0.0,25.16,50.87,0.0,0.0,0.0,21546.0,10274.3,96.6,127.4,0.0,3010.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3713.2,4012.0,0.0,312.0,0.0,0.0,8611.4,1662.9
2045-01-01 07:00:00,2045-01-01 07:00:00,19533.7,0.0,0.0,61.7,19595.5,18905.3,6318.7,1271.7,6393.5,0.0322,0.0421,gas-cc,gas-cc,1.0,1.0,0.0,0.0,0.0,1.6,3.5,0.03,0.0,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.5,6.9,0.69,43.4,2773.4,0.16,367.9,126.1,494.0,23.29,0.0,24.1,47.38,24.31,0.0,25.16,49.47,0.0,0.0,0.0,24717.3,13276.8,193.3,127.4,0.0,3010.4,0.0,0.0,0.0,57.2,0.0,0.0,0.0,0.0,3713.2,3772.2,0.0,624.1,0.0,290.3,10711.9,2217.3
