year,month,current_state,bill,comfort_penalty,switching_decision,realized_savings,unrealized_savings
2018,1,default,30.913794956237297,0.0,switch,0.0,17.33344866451216
2018,2,tou,11.858265133177351,0.0,stay,16.946316113818344,0.0
2018,3,tou,16.264304844120645,0.0,stay,23.257787427838778,0.0
2018,4,tou,11.508235903917065,0.0,stay,14.46704581669336,0.0
2018,5,tou,12.120994111408852,0.0,stay,15.014662153275271,0.0
2018,6,tou,10.508878971192942,0.0,stay,12.108068105479113,0.0
2018,7,tou,8.933402601402403,0.0,stay,12.342475076580254,0.0
2018,8,tou,9.286251483488432,0.0,stay,13.416261271605418,0.0
2018,9,tou,9.570890476011726,0.0,stay,12.819101869963816,0.0
2018,10,tou,11.329093437266,0.0,stay,14.719313645501554,0.0
2018,11,tou,12.122365738176168,0.0,stay,15.973224367107715,0.0
2018,12,tou,14.553050872491081,0.0,stay,18.007636938217882,0.0
