rate,effective_date,season,start,end,determinant,rate_determinant,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025
delivery charge,12/01/2024,,,,,per ccf,1.4159,1.4159,1.4159,1.4159,1.4159,1.4159,1.4159,1.4159,1.4159,1.4159,1.4159,1.4159
distribution integrity management program,05/01/2026,,,,,per ccf,0.3357,0.3357,0.3357,0.3357,0.2024,0.2024,0.2024,0.2024,0.2024,0.2024,0.2024,0.2024
conservation adjustment mechanism,03/01/2026,,,,,per ccf,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046
decoupling mechanism,04/01/2026,,,,,per ccf,0.0317356,0.0317356,0.0317356,0.0334152,0.0334152,0.0334152,0.0334152,0.0334152,0.0334152,0.0334152,0.0334152,0.0334152
system expansion reconciliation,04/01/2026,,,,,per ccf,0.1743,0.1743,0.1743,0.0755,0.0755,0.0755,0.0755,0.0755,0.0755,0.0755,0.0755,0.0755
purchased gas adjustment,06/01/2026,,,,,per ccf,0.5121,0.6059,0.6618,0.5569,0.3989,0.3986,0.3215,0.3215,0.3796,0.3875,0.4956,0.529
sales services charge,12/01/2024,,,,,per ccf,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032
customer charge,05/01/2022,,,,,per month,17.93,17.93,17.93,17.93,17.93,17.93,17.93,17.93,17.93,17.93,17.93,17.93
