rate,effective_date,season,start,end,determinant,rate_determinant,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025
purchased gas adjustment,06/01/2026,,,,,per ccf,-0.32903,-0.32903,-0.32903,-0.32903,-0.32903,-0.32903,-0.32903,-0.32903,-0.32903,-0.32903,-0.32903,-0.32903
commodity charge,11/01/2025,,,,,per ccf,1.42751,1.42751,1.42751,1.42751,1.42751,1.42751,1.42751,1.42751,1.42751,1.42751,1.47092,1.47092
gas efficiency fund,11/01/2023,,,,,per ccf,0.02102,0.02102,0.02102,0.02102,0.02102,0.02102,0.02102,0.02102,0.02102,0.02102,0.02102,0.02102
customer charge,11/01/2025,,,,,per month,65.83,65.83,65.83,65.83,65.83,65.83,65.83,65.83,65.83,65.83,68.8,68.8
