rate,effective_date,season,start,end,determinant,charge_type,rate_determinant,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025
cam charge,03/01/2026,,,,,,per ccf,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046
decoupling charge,04/01/2026,,,,,,per ccf,0.0618247,0.0618247,0.0618247,0.0608573,0.0608573,0.0608573,0.0608573,0.0608573,0.0608573,0.0608573,0.0608573,0.0608573
ser charge,04/01/2026,,,,,,per ccf,0.0283,0.0283,0.0283,0.0238,0.0238,0.0238,0.0238,0.0238,0.0238,0.0238,0.0238,0.0238
purchased gas adjustment,06/01/2026,,,,,,per ccf,0.6288,0.728,0.7801,0.6236,0.4675,0.3901,0.3901,0.3901,0.4588,0.4676,0.644,0.6804
sales services charge,12/01/2024,,,,,,per ccf,0.0473,0.0473,0.0473,0.0473,0.0473,0.0473,0.0473,0.0473,0.0473,0.0473,0.0473,0.0473
distribution integrity management program,05/01/2026,,,,,,per ccf,0.0278,0.0278,0.0278,0.0278,0.0456,0.0456,0.0456,0.0456,0.0456,0.0456,0.0456,0.0456
delivery charge,12/01/2024,,,30.0,ccf,,per ccf,0.7392,0.7392,0.7392,0.7392,0.7392,0.7392,0.7392,0.7392,0.7392,0.7392,0.7392,0.7392
delivery charge,12/01/2024,,31.0,,ccf,,per ccf,0.3307,0.3307,0.3307,0.3307,0.3307,0.3307,0.3307,0.3307,0.3307,0.3307,0.3307,0.3307
customer charge,05/01/2022,,,,,,per month,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
