rate,effective_date,season,start,end,determinant,rate_determinant,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025
delivery charge,12/01/2024,,,,,per ccf,1.687,1.687,1.687,1.687,1.687,1.687,1.687,1.687,1.687,1.687,1.687,1.687
cam charge,03/01/2026,,,,,per ccf,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046
decoupling charge,04/01/2026,,,,,per ccf,0.0618247,0.0618247,0.0618247,0.0608573,0.0608573,0.0608573,0.0608573,0.0608573,0.0608573,0.0608573,0.0608573,0.0608573
ser charge,04/01/2026,,,,,per ccf,0.1407,0.1407,0.1407,0.0767,0.0767,0.0767,0.0767,0.0767,0.0767,0.0767,0.0767,0.0767
purchased gas adjustment,06/01/2026,,,,,per ccf,0.4728,0.5721,0.6242,0.4677,0.3116,0.2342,0.2342,0.2342,0.3047,0.3135,0.4899,0.5264
sales services charge,12/01/2024,,,,,per ccf,0.0183,0.0183,0.0183,0.0183,0.0183,0.0183,0.0183,0.0183,0.0183,0.0183,0.0183,0.0183
distribution integrity management program,05/01/2026,,,,,per ccf,0.1568,0.1568,0.1568,0.1568,0.1634,0.1634,0.1634,0.1634,0.1634,0.1634,0.1634,0.1634
customer charge,05/01/2022,,,,,per month,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35
