rate,effective_date,season,start,end,determinant,charge_type,rate_determinant,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025
distribution integrity management program,05/01/2026,,,,,,per ccf,0.0741,0.0741,0.0741,0.0741,0.1008,0.1008,0.1008,0.1008,0.1008,0.1008,0.1008,0.1008
conservation adjustment mechanism,03/01/2026,,,,,,per ccf,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046
decoupling mechanism,04/01/2026,,,,,,per ccf,0.0317356,0.0317356,0.0317356,0.0334152,0.0334152,0.0334152,0.0334152,0.0334152,0.0334152,0.0334152,0.0334152,0.0334152
system expansion reconciliation,04/01/2026,,,,,,per ccf,0.0388,0.0388,0.0388,0.0359,0.0359,0.0359,0.0359,0.0359,0.0359,0.0359,0.0359,0.0359
purchased gas adjustment,06/01/2026,,,,,,per ccf,0.6297,0.7235,0.7794,0.6745,0.5165,0.5163,0.4391,0.4391,0.5057,0.5136,0.6218,0.6551
sales services charge,12/01/2024,,,,,,per ccf,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
delivery charge,12/01/2024,,,30.0,ccf,,per ccf,0.9502,0.9502,0.9502,0.9502,0.9502,0.9502,0.9502,0.9502,0.9502,0.9502,0.9502,0.9502
delivery charge,12/01/2024,,31.0,,ccf,,per ccf,0.3864,0.3864,0.3864,0.3864,0.3864,0.3864,0.3864,0.3864,0.3864,0.3864,0.3864,0.3864
customer charge,05/01/2022,,,,,,per month,15.64,15.64,15.64,15.64,15.64,15.64,15.64,15.64,15.64,15.64,15.64,15.64
