rate,effective_date,season,min_psig,max_psig,start,end,determinant,charge_type,rate_determinant,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025
demand added,03/01/2024,,123456,32165,,,,charge type,per balancing therm,0.3693,0.3693,0.3693,0.3693,0.3693,0.3693,0.3693,0.3693,0.3693,0.3693,0.3693,0.3693
purchased gas adjustment,06/01/2026,,,,,,,,per ccf,-0.32903,-0.32903,-0.32903,-0.32903,-0.32903,-0.32903,-0.32903,-0.32903,-0.32903,-0.32903,-0.32903,-0.32903
gas efficiency fund,11/01/2023,,,,,,,,per ccf,0.02102,0.02102,0.02102,0.02102,0.02102,0.02102,0.02102,0.02102,0.02102,0.02102,0.02102,0.02102
commodity charge,11/01/2024,,,,,30.0,ccf,,per ccf,1.90102,1.90102,1.90102,1.90102,1.90102,1.90102,1.90102,1.90102,1.90102,1.90102,1.90102,1.90102
commodity charge,11/01/2024,,,,31.0,,ccf,,per ccf,1.43188,1.43188,1.43188,1.43188,1.43188,1.43188,1.43188,1.43188,1.43188,1.43188,1.43188,1.43188
customer charge,11/01/2025,,,,,,,,per month,25.79,25.79,25.79,25.79,25.79,25.79,25.79,25.79,25.79,25.79,26.94,26.94
