bucket,label,n_projects,capacity_mw,levelized_mc_kw_yr,final_year_real_mc_kw_yr,final_year_nominal_mc_kw_yr
local_tx,Local Transmission (69/115 kV),3,593.0,2.98,14.89,17.95
substation,Substation,6,123.7,1.25,0.0,0.0
feeder,Feeder Circuit,2,29.5,0.02,0.0,0.0
total,Total (all cost centers),11,746.2,4.24,14.89,17.95
