cost_center,label,n_projects,capacity_mw,total_cost_m,composite_rate,levelized_mc_kw_yr,final_year_real_mc_kw_yr,final_year_nominal_mc_kw_yr
transmission,"Bulk TX (Gold Book, 138 kV)",1,277.4,46.1,0.13035,19.5,21.66,26.19
tx_local,"Local TX (non-Gold-Book, 138 kV)",1,169.1,36.5,0.13035,10.63,28.14,34.02
substation,Area Station & Sub-TX,4,436.0,199.9,0.1185,26.45,54.32,65.68
primary,Primary Distribution,26,54.2,15.5,0.15394,43.3,44.01,53.22
secondary_dist,Secondary Distribution,2,0.0,13.6,0.13725,1.72,1.72,2.09
local_total,Sub-TX + dist (excl. bulk TX),0,0.0,0.0,0.0,82.11,128.19,155.01
