bucket,label,n_projects,capacity_mw,levelized_mc_kw_yr,final_year_real_mc_kw_yr,final_year_nominal_mc_kw_yr
sub_tx,"Sub-TX (T-Substation, ≤69kV)",15,1027.1,46.18,46.18,53.41
distribution,Distribution (D-Substation + D-Feeders),15,183.0,62.65,0.0,0.0
total,Total (Sub-TX + Dist),30,1210.1,51.93,46.18,53.41
