bucket,label,n_projects,capacity_mw,levelized_mc_kw_yr,final_year_real_mc_kw_yr,final_year_nominal_mc_kw_yr
sub_tx,"Sub-TX (T-Substation, ≤69kV)",15,1027.1,6.74,9.61,11.12
distribution,Distribution (D-Substation + D-Feeders),15,183.0,3.19,3.72,4.3
total,Total (Sub-TX + Dist),30,1210.1,9.93,13.33,15.42
