year,bulk_tx_nominal,bulk_tx_real,sub_tx_and_dist_nominal,sub_tx_and_dist_real
2025,0.0,0.0,60.12,61.38
2026,0.0,0.0,58.01,58.01
2027,0.0,0.0,58.0,56.8
2028,0.0,0.0,59.39,56.97
2029,0.0,0.0,61.21,57.51
2030,0.0,0.0,61.88,56.95
2031,0.0,0.0,62.52,56.35
2032,0.0,0.0,62.87,55.5
