year,bulk_tx_nominal,bulk_tx_real,sub_tx_and_dist_nominal,sub_tx_and_dist_real
2025,0.0,0.0,5.38,5.38
2026,0.0,0.0,1.91,1.87
2027,0.0,0.0,1.44,1.38
2028,0.0,0.0,1.23,1.15
2029,0.0,0.0,1.46,1.34
2030,0.0,0.0,0.58,0.52
2031,0.0,0.0,0.71,0.63
2032,0.0,0.0,1.21,1.05
