year,month,current_state,bill,comfort_penalty,switching_decision,realized_savings,unrealized_savings
2018,1,default,30.871364372321423,0.0,switch,0.0,17.31298885667276
2018,2,tou,11.843318763785158,0.0,stay,16.929964178545823,0.0
2018,3,tou,16.243777451932683,0.0,stay,23.247735384357025,0.0
2018,4,tou,11.499204518626666,0.0,stay,14.465288433455505,0.0
2018,5,tou,12.10694029510255,0.0,stay,15.02719420254017,0.0
2018,6,tou,10.49745568036131,0.0,stay,12.113752116387493,0.0
2018,7,tou,8.915933134437365,0.0,stay,12.341714191315324,0.0
2018,8,tou,9.27512131971274,0.0,stay,13.416933753202295,0.0
2018,9,tou,9.560219890293869,0.0,stay,12.831183023577925,0.0
2018,10,tou,11.314730202077245,0.0,stay,14.716594062975203,0.0
2018,11,tou,12.10653745401616,0.0,stay,15.966243831700982,0.0
2018,12,tou,14.535214062448583,0.0,stay,17.98834167445643,0.0
