rate,effective_date,season,min_therms,max_therms,start,end,determinant,charge_type,location,rate_determinant,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025
gross receipts tax - commodity,04/01/2021,,,,,,,,village of spring valley,percent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gross receipts tax - commodity,04/01/2021,,,,,,,,village of suffern,percent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gross receipts tax - commodity,04/01/2021,,,,,,,,village of unionville,percent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gross receipts tax - commodity,04/01/2021,,,,,,,,village of upper nyack,percent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gross receipts tax - commodity,04/01/2021,,,,,,,,village of warwick,percent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gross receipts tax - commodity,04/01/2021,,,,,,,,village of washingtonville,percent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gross receipts tax - commodity,04/01/2021,,,,,,,,village of wesley hills,percent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gross receipts tax - commodity,04/01/2021,,,,,,,,village of west haverstraw,percent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gross receipts tax - delivery,04/01/2021,,,,,,,,city of middletown,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gross receipts tax - delivery,04/01/2021,,,,,,,,city of port jervis,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gross receipts tax - delivery,04/01/2021,,,,,,,,village of airmont,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gross receipts tax - delivery,04/01/2021,,,,,,,,village of chester,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gross receipts tax - delivery,04/01/2021,,,,,,,,village of chestnut ridge,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gross receipts tax - delivery,04/01/2021,,,,,,,,village of florida,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gross receipts tax - delivery,04/01/2021,,,,,,,,village of goshen,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gross receipts tax - delivery,04/01/2021,,,,,,,,village of grand-view-on-hudson,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gross receipts tax - delivery,04/01/2021,,,,,,,,village of greenwood lake,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gross receipts tax - delivery,04/01/2021,,,,,,,,village of harriman,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gross receipts tax - delivery,04/01/2021,,,,,,,,village of haverstraw,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gross receipts tax - delivery,04/01/2021,,,,,,,,village of hillburn,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gross receipts tax - delivery,04/01/2021,,,,,,,,village of kaser,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gross receipts tax - delivery,04/01/2021,,,,,,,,village of kiryas joe,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gross receipts tax - delivery,04/01/2021,,,,,,,,village of monroe,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gross receipts tax - delivery,04/01/2021,,,,,,,,village of montebello,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gross receipts tax - delivery,04/01/2021,,,,,,,,village of new hempstead,percent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
