rate,effective_date,season,min_therms,max_therms,start,end,determinant,charge_type,location,rate_determinant,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025
percentage increase in rates and charges - commodity rates,06/04/2021,,,,,,,,city of new york,percent,2.4066,2.4066,2.4066,2.4066,2.4066,2.4066,2.4066,2.4066,2.4066,2.4066,2.4066,2.4066
percentage increase in rates and charges - commodity rates,06/04/2021,,,,,,,,city of mount vernon,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
percentage increase in rates and charges - commodity rates,06/04/2021,,,,,,,,new rochelle,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
percentage increase in rates and charges - commodity rates,06/04/2021,,,,,,,,peekskill,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
percentage increase in rates and charges - commodity rates,06/04/2021,,,,,,,,rye,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
percentage increase in rates and charges - commodity rates,06/04/2021,,,,,,,,white plains,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
percentage increase in rates and charges - commodity rates,06/04/2021,,,,,,,,city of yonkers,percent,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928,3.0928
percentage increase in rates and charges - commodity rates,06/04/2021,,,,,,,,all villages,percent,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101,1.0101
percentage increase in rates and charges - delivery rates,04/01/2025,,,,,,,,city of new york,percent,4.2899,4.2899,4.2899,4.2899,3.6202,3.6202,3.6202,3.6202,3.6202,3.6202,3.6202,3.6202
percentage increase in rates and charges - delivery rates,04/01/2025,,,,,,,,city of mount vernon,percent,5.6965,5.6965,5.6965,5.6965,2.1906,2.1906,2.1906,2.1906,2.1906,2.1906,2.1906,2.1906
percentage increase in rates and charges - delivery rates,04/01/2025,,,,,,,,new rochelle,percent,5.6965,5.6965,5.6965,5.6965,2.1906,2.1906,2.1906,2.1906,2.1906,2.1906,2.1906,2.1906
percentage increase in rates and charges - delivery rates,04/01/2025,,,,,,,,peekskill,percent,5.6965,5.6965,5.6965,5.6965,2.1906,2.1906,2.1906,2.1906,2.1906,2.1906,2.1906,2.1906
percentage increase in rates and charges - delivery rates,04/01/2025,,,,,,,,rye,percent,5.6965,5.6965,5.6965,5.6965,2.1906,2.1906,2.1906,2.1906,2.1906,2.1906,2.1906,2.1906
percentage increase in rates and charges - delivery rates,04/01/2025,,,,,,,,white plains,percent,5.6965,5.6965,5.6965,5.6965,2.1906,2.1906,2.1906,2.1906,2.1906,2.1906,2.1906,2.1906
percentage increase in rates and charges - delivery rates,04/01/2025,,,,,,,,city of yonkers,percent,5.0017,5.0017,5.0017,5.0017,4.3228,4.3228,4.3228,4.3228,4.3228,4.3228,4.3228,4.3228
percentage increase in rates and charges - delivery rates,04/01/2025,,,,,,,,all towns,percent,5.0017,5.0017,5.0017,5.0017,1.1569,1.1569,1.1569,1.1569,1.1569,1.1569,1.1569,1.1569
percentage increase in rates and charges - delivery rates,04/01/2025,,,,,,,,all villages,percent,5.6965,5.6965,5.6965,5.6965,2.1906,2.1906,2.1906,2.1906,2.1906,2.1906,2.1906,2.1906
additional percentage increase in rates and charges - commodity rates,06/29/2024,,,,,,,,city of new york,percent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
additional percentage increase in rates and charges - commodity rates,06/29/2024,,,,,,,,city of mount vernon,percent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
