bucket,label,levelized_mc_kw_yr,final_year_real_mc_kw_yr,final_year_nominal_mc_kw_yr
bulk_tx,Bulk TX,9.95,13.19,16.23
sub_tx_and_dist,Sub-TX + Distribution,16.36,111.49,137.24
