year,bulk_tx_nominal,bulk_tx_real,sub_tx_and_dist_nominal,sub_tx_and_dist_real
2026,0.0,0.0,3.6,3.6
2027,11.85,11.61,5.51,5.4
2028,0.0,0.0,1.56,1.49
2029,0.0,0.0,2.58,2.42
2030,0.0,0.0,6.99,6.43
2031,0.0,0.0,9.32,8.4
2032,0.0,0.0,4.16,3.68
2033,0.12,0.11,4.1,3.54
2034,0.0,0.0,5.67,4.8
2035,0.0,0.0,15.36,12.74
2036,1.81,1.47,72.6,58.98
