year,bulk_tx_nominal,bulk_tx_real,sub_tx_and_dist_nominal,sub_tx_and_dist_real
2026,0.0,0.0,3.6,3.6
2027,11.85,11.61,9.19,9.0
2028,12.1,11.61,10.94,10.49
2029,12.36,11.61,13.75,12.92
2030,12.62,11.61,21.03,19.35
2031,12.88,11.61,30.79,27.75
2032,13.15,11.61,35.6,31.43
2033,13.55,11.71,40.44,34.97
2034,13.83,11.71,46.96,39.77
2035,14.12,11.71,63.31,52.51
2036,16.23,13.19,137.24,111.49
