bucket,label,levelized_mc_kw_yr,final_year_real_mc_kw_yr,final_year_nominal_mc_kw_yr
bulk_tx,"Bulk TX (Gold Book, 138 kV)",0.82,0.0,0.0
sub_tx_and_dist,Sub-TX + dist (excl. bulk TX),3.9,1.77,2.09
