bucket,label,levelized_mc_kw_yr,final_year_real_mc_kw_yr,final_year_nominal_mc_kw_yr
bulk_tx,"Bulk TX (Gold Book, 138 kV)",22.18,22.18,26.19
sub_tx_and_dist,Sub-TX + dist (excl. bulk TX),74.23,131.26,155.01
