year,bulk_tx_nominal,bulk_tx_real,sub_tx_and_dist_nominal,sub_tx_and_dist_real
2025,0.0,0.0,57.23,58.6
2026,22.18,22.18,43.51,43.51
2027,22.65,22.18,40.89,40.05
2028,23.12,22.18,67.89,65.13
2029,23.61,22.18,84.4,79.3
2030,24.1,22.18,99.26,91.34
2031,24.61,22.18,101.35,91.34
2032,25.13,22.18,123.41,108.94
2033,25.66,22.18,151.82,131.26
2034,26.19,22.18,155.01,131.26
